city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Buenos Aires,10.0705,-84.4318,Costa Rica,CR,Alajuela,,7493,7493
Santa Lucía,10.0264,-84.1135,Costa Rica,CR,Heredia,,7413,7413
Bribri,9.6255,-82.8305,Costa Rica,CR,Limón,,7318,7318
Sarchí,10.1258,-84.3209,Costa Rica,CR,Alajuela,,7140,7140
San Rafael,9.9780,-83.9542,Costa Rica,CR,San José,,7040,7040
Tobosí,9.8172,-83.9928,Costa Rica,CR,Cartago,,6569,6569
Juan Viñas,9.9022,-83.7423,Costa Rica,CR,Cartago,,6552,6552
Vuelta de Jorco,9.7716,-84.1380,Costa Rica,CR,San José,,6499,6499
General Viejo,9.3527,-83.6042,Costa Rica,CR,San José,,6373,6373
San Juan Grande,9.9704,-84.6534,Costa Rica,CR,Puntarenas,,6171,6171
San Jerónimo,10.0274,-84.0027,Costa Rica,CR,San José,,6154,6154
Aquiares,9.9280,-83.6600,Costa Rica,CR,Cartago,,6116,6116
San Gabriel,9.7876,-84.1111,Costa Rica,CR,San José,,6061,6061
Cinco Esquinas,9.9467,-84.0831,Costa Rica,CR,Heredia,,5925,5925
Coyolar,9.8741,-84.5769,Costa Rica,CR,Alajuela,,5912,5912
Pacayas,9.9377,-83.8175,Costa Rica,CR,Cartago,,5628,5628
San José de la Montaña,10.0894,-84.1082,Costa Rica,CR,Heredia,,5377,5377
Quebradillas,9.8500,-84.0019,Costa Rica,CR,Cartago,,5349,5349
Sarchí Sur,10.0745,-84.3442,Costa Rica,CR,Alajuela,,5143,5143
Tierra Blanca,9.9307,-83.8894,Costa Rica,CR,Cartago,,5103,5103
Barva,10.0204,-84.1234,Costa Rica,CR,Heredia,,4997,4997
Tucurrique,9.8465,-83.7313,Costa Rica,CR,Cartago,,4872,4872
Macacona,10.0158,-84.6162,Costa Rica,CR,Puntarenas,,4742,4742
San Pablo,9.6837,-84.0451,Costa Rica,CR,San José,,4663,4663
San Miguel Oeste,10.0637,-84.3914,Costa Rica,CR,Alajuela,,4657,4657
Cirrí,10.1437,-84.3637,Costa Rica,CR,Alajuela,,4552,4552
Zarcero,10.1890,-84.3751,Costa Rica,CR,Alajuela,,4397,4397
Llano Grande,9.9337,-83.9194,Costa Rica,CR,Cartago,,4342,4342
Salitral,9.8946,-84.1704,Costa Rica,CR,San José,,4304,4304
San Cristóbal Sur,9.7491,-83.9914,Costa Rica,CR,San José,,3905,3905
San Antonio,9.8615,-84.2991,Costa Rica,CR,San José,,3889,3889
Frailes,9.7547,-84.0691,Costa Rica,CR,San José,,3772,3772
Cipreses,9.8938,-83.8420,Costa Rica,CR,Cartago,,3700,3700
San Jerónimo,10.1284,-84.3527,Costa Rica,CR,Alajuela,,3264,3264
Mata de Plátano,9.9363,-84.0700,Costa Rica,CR,San José,,2702,2702
